"旧ファイル名","新ファイル名","天使名"
"IIaM9D7x.jpg","ミカエル_01.jpg","ミカエル"
"qLxSg242.jpg","ガブリエル_01.jpg","ガブリエル"
"Almsl8Iz.jpg","ラファエル_01.jpg","ラファエル"
"p1Muqxis.jpg","ウリエル_01.jpg","ウリエル"
"9xqor2nj.jpg","メタトロン_01.jpg","メタトロン"
"9mzzbfbn.jpg","サンダルフォン_01.jpg","サンダルフォン"
"44OEzRsH.jpg","ラジエル_01.jpg","ラジエル"
"IztvFqFI.jpg","ザドキエル_01.jpg","ザドキエル"
"IuKpq95K.jpg","ハニエル_01.jpg","ハニエル"
"HDCdvYSf.jpg","ジョフィエル_01.jpg","ジョフィエル"
"vXz07H4E.jpg","ラグエル_01.jpg","ラグエル"
"Wy6d54e1.jpg","レミエル_01.jpg","レミエル"
"9tul3mln.jpg","アズラエル_01.jpg","アズラエル"
"6yZ59YNr.jpg","アリエル_01.jpg","アリエル"
"2lIQiRpp.jpg","カマエル_01.jpg","カマエル"
"rIBLZ7vX.jpg","セラフィエル_01.jpg","セラフィエル"
"8hPfggKM.jpg","ケルビエル_01.jpg","ケルビエル"
"BzP6YRlt.jpg","バラキエル_祝福_01.jpg","バラキエル_祝福"
"EZQAVuzR.jpg","セアルティエル_01.jpg","セアルティエル"
"I0KtHux9.jpg","イェフディエル_01.jpg","イェフディエル"
"iwbP2I7P.jpg","サリエル_01.jpg","サリエル"
"POyB8Jsk.jpg","ゼラキエル_01.jpg","ゼラキエル"
"Qtsf7LEb.jpg","アナエル_01.jpg","アナエル"
"WBLQKz0H.jpg","カシエル_01.jpg","カシエル"
"9tmYLISr.jpg","アドナキエル_01.jpg","アドナキエル"
"gUdcdzMS.jpg","イスラフェル_01.jpg","イスラフェル"
"TEi6FTHz.jpg","バラキエル_雷光_01.jpg","バラキエル_雷光"
"Ts8WEwim.jpg","ナタナエル_01.jpg","ナタナエル"
"FSuIRc7q.jpg","ハズィエル_01.jpg","ハズィエル"
"ygEt1PvE.jpg","ムニエル_01.jpg","ムニエル"
